	NH3		He		Ne		Ar
8.98E-4	0.0160658779931251	7.98E-4	0.00967821904449286	9.98E-4	0	0.001198	0.0155166796781026
8.96E-4	0.0163149037888693	7.96E-4	0.00945729484063405	9.96E-4	0.00163249712178707	0.001196	0.0161277782933193
8.94E-4	0.0161321166990785	7.94E-4	0.00968463709928153	9.94E-4	0.00426000310888424	0.001194	0.0190424081958589
8.92E-4	0.0156753628569213	7.92E-4	0.00968373076925149	9.92E-4	0.00595124057995779	0.001192	0.0241643040938474
8.9E-4	0.0161368926185841	7.9E-4	0.00995423864570013	9.9E-4	0.00663043699008999	0.00119	0.0241219652549578
8.88E-4	0.0163408945168333	7.88E-4	0.0104933971276177	9.88E-4	0.00887511200435333	0.001188	0.0262214830930782
8.86E-4	0.0165880629341689	7.86E-4	0.010670642688089	9.86E-4	0.0114542940080948	0.001186	0.0258165004866676
8.84E-4	0.016519082645767	7.84E-4	0.0100908013226654	9.84E-4	0.0127440992977623	0.001184	0.0280982869224968
8.82E-4	0.0166208287626527	7.82E-4	0.0101765453328827	9.82E-4	0.0165951249043892	0.001182	0.0291597052075685
8.8E-4	0.016437442252444	7.8E-4	0.0108338125926884	9.8E-4	0.0177226192729561	0.00118	0.0293934326322812
8.78E-4	0.0168356367262588	7.78E-4	0.0113027675972235	9.78E-4	0.0184394594545094	0.001178	0.0305009618960027
8.76E-4	0.0170353466407528	7.76E-4	0.0112251687217207	9.76E-4	0.0211405575126442	0.001176	0.037671736513583
8.74E-4	0.0171887000668148	7.74E-4	0.0111353769532807	9.74E-4	0.0239232399117037	0.001174	0.0373406244671506
8.72E-4	0.0170191493268702	7.72E-4	0.0114432701468189	9.72E-4	0.0260511386439708	0.001172	0.0378115369361548
8.7E-4	0.0177784804622609	7.7E-4	0.0114953005918388	9.7E-4	0.0291559055661632	0.00117	0.038427920696757
8.68E-4	0.0181761218666448	7.68E-4	0.0122895825555929	9.68E-4	0.0317123251267115	0.001168	0.0385642369012567
